"PLT_CN","ABCO_met","ABMA_met","ABSH_met","ACMA_met","CADE_met","JUNIPER_met","PICO_met","PIJE_met","PILA_met","PIMO_met","PIPO_met","POBA_met","PSME_met","QUCH_met","QUKE_met","hardwood.ba","conifer.ba","AB_PI","INVYR","ELEV_met","COND_STATUS_CD","STDAGE","FORTYPCD","OWNGRPCD","DSTRBCD1","CONDPROP_UNADJ","GSSTKCD","BALIVE","x.coord","y.coord","number.conditions","MEANING","DENS_12plus","DENS_12_24","DENS_24_36","DENS_36plus","BALIVE_sqmha"
44541456020004,0,0,0,0,0,0,0,0,0,0,17.1977871876163,0,0,0,0,0,17.1977871876163,0,2013,1676.31819567205,1,160,221,40,0,1,3,131.3552,-121.253242,40.642289,1,"Ponderosa pine",136.302451198419,133.833491475167,2.46895972325179,0,17.1977871876163
44541626020004,49.1002654784115,0,0,0,0,0,0,0,0.794486922852563,0,0,0,4.4373240632153,0,0,0,54.3320764644794,0.984076743853479,2013,1737.27522096922,1,105,261,10,0,1,2,288.9284,-120.969823,39.890357,1,"White fir",277.372933036817,223.055819125278,51.8481541882876,2.46895972325179,54.3320764644794
44541862020004,0,0,0,0,0,0,0,26.0535452771232,0,0,0,0,0,0,0,0,26.0535452771232,0,2013,1676.31819567205,1,110,225,10,0,1,3,125.0777,-120.51505,40.039791,1,"Jeffrey pine",99.0415369409439,74.351939708426,17.2827180627625,7.40687916975537,26.0535452771232
44542187020004,8.25869662845355,0,0,0,4.6346446689603,0,0,0,7.38636617248278,0,4.79368127106685,0,0,0,0,0,25.0733887409635,0.40407065127677,2013,1737.27522096922,1,110,371,10,0,1,2,163.9066,-121.335672,40.198017,1,"California mixed conifer",96.5159476155177,59.4815517667408,32.0964764022733,4.93791944650358,25.0733887409635
44542328020004,0,46.7135389814625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7135389814625,1,2013,2042.06034745504,1,210,262,10,20,1,2,248.1959,-121.335021,40.04825,1,"Red fir",81.588930071658,29.7407758833704,17.2827180627625,34.5654361255251,46.7135389814625
44542837020004,0,0,0,0,0,0,3.67332772175315,12.6728494977119,0,0,0,0,0,0,0,0,16.346177219465,0,2013,1798.23224626638,1,85,225,40,0,1,4,83.4098,-120.90258,40.524554,1,"Jeffrey pine",86.696738324685,74.351939708426,12.344798616259,0,16.346177219465
44542844020004,14.8247786466998,0,0,0,0,0,0,0,0,0,1.83376281434664,0,0,0,0,0,16.6585414610465,0.889920566057081,2013,1615.36117037489,1,90,261,10,0,1,3,134.3377,-121.584789,40.643368,1,"White fir",121.432063256733,118.963103533482,2.46895972325179,0,16.6585414610465
44543398020004,0,0,0,0,12.350546544621,0,0,9.11122938338733,1.12597353011985,0,9.19957321681216,0,13.2924706152404,0,0,0,45.0797932901808,0,2013,1554.40414507772,1,118,371,10,0,1,2,304.4583,-121.146625,40.004669,1,"California mixed conifer",270.022683469236,237.926207066963,29.6275166790215,2.46895972325179,45.0797932901808
48202719010497,28.8257627009352,12.2764388870935,0,0,0,0,0,0,2.80678135567054,0,0,0,0,0,0,0,43.9089829436991,0.936077286069927,2011,1798.23224626638,1,95,261,10,0,1,2,215.9578,-121.620534,40.616685,1,"White fir",237.869577464789,223.055819125278,14.8137583395107,0,43.9089829436991
48203209010497,1.73129689991228,0,0,0,0,0,0,0,4.36573472969674,0,2.62431901746733,0,6.54679547168308,0,8.19436384510885,8.19436384510885,15.2681461187594,0.198512474726911,2011,1127.70496799756,1,95,371,10,0,1,3,125.8819,-121.360954,39.875109,1,"California mixed conifer",126.369982703237,118.963103533482,0,7.40687916975537,23.4625099638683
48203331010497,0,0,0,0,0.905295229033357,0,0,0,2.6632360663325,0,9.77548620946411,0,12.4579735605141,0,0,0,25.8019910653441,0,2011,1676.31819567205,1,80,371,10,0,1,3,120.1868,-120.756246,40.088629,1,"California mixed conifer",121.375433654559,104.092715591796,14.8137583395107,2.46895972325179,25.8019910653441
48203332010497,0,0,0,0,0,0,0,26.1427497699856,0,0,0,0,0,0,0,0,26.1427497699856,0,2011,1798.23224626638,1,90,225,10,0,1,2,136.5323,-120.308406,40.074547,1,"Jeffrey pine",185.851534469978,178.444655300222,4.93791944650358,2.46895972325179,26.1427497699856
48203406010497,0,0,0,0,0,8.20506092585173,0,7.48982397355472,0,0,0,0,0,0,0,0,15.6948848994065,0,2011,1554.40414507772,1,85,369,10,46,1,2,93.8973,-121.002577,40.835555,1,"Western juniper",66.8884309364962,59.4815517667408,4.93791944650358,2.46895972325179,15.6948848994065
48203415010497,0,0,0,0,0,0,0,0,0,0,18.2023234044728,0,0,0,0,0,18.2023234044728,0,2011,1676.31819567205,1,110,221,10,0,1,3,94.4057,-120.994755,40.685672,1,"Ponderosa pine",89.1656980479367,74.351939708426,12.344798616259,2.46895972325179,18.2023234044728
48203416010497,39.2232040106474,0,0,0,0,0,0,1.37899229315478,0,0,1.67589900223038,0,0,0,0,0,42.2780953060326,0.927742929919805,2011,1798.23224626638,1,90,261,40,0,1,2,199.7026,-120.977077,40.505443,1,"White fir",257.734514455152,252.796595008648,2.46895972325179,2.46895972325179,42.2780953060326
