site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110
lassen,27040706,1722.8946936107104,4.268882233056666,174.78643798828125,SW,399.8733367919922,20.771349906921387,459.10670471191406,463.1719970703125,1461.931640625,14.779999732971191
lassen,27072304,1508.7050244016696,15.627809963492572,9.271049499511719,NE,520.38671875,96.5186996459961,351.9833068847656,273.0787048339844,1040.8133544921875,15.3100004196167
lassen,27062511,1461.210217406018,18.5345352101444,296.4246520996094,SW,519.1916961669922,77.73150062561035,400.46250915527344,259.9473190307617,1030.0208435058594,15.889999866485596
lassen,27061303,1446.0319841014666,2.3727066361329334,198.14691162109375,SW,518.1983184814453,81.72825050354004,401.44503021240234,247.3648223876953,996.5683288574219,16.106675148010254
lassen,27072016,1625.3937343918203,10.526893105429599,90.03499603271484,NE,544.7316741943359,100.40625190734863,361.0633544921875,262.4707489013672,1074.6866455078125,15.578325271606445
lassen,27073001,1537.823344504945,9.140223271736795,299.7828369140625,SW,498.86669921875,70.739349365234375,402.2066955566406,269.02879333496094,1059.316650390625,15.508299827575684
lassen,27070912,1386.1286150029077,4.424838007226163,97.22346496582031,NE,551.05999755859375,103.64769744873047,377.19329833984375,195.9427032470703,976.856689453125,16.5
lassen,27072603,1584.8829260039747,24.445096831931206,175.2738800048828,SW,527.07666015625,97.38164901733398,350.5333557128906,270.06800842285156,1048.5233154296875,15.093300342559814
lassen,27060106,1455.8029503173827,5.344902812615037,5.479377746582031,NE,533.55499267578125,90.96770095825195,378.98500061035156,236.55484771728516,947.0267028808594,16.1983003616333
lassen,27071909,1466.9068972120099,11.311175744089425,283.54290771484375,SW,495.86830139160156,73.342498779296875,398.38330078125,257.7205047607422,1040.9465942382812,15.725000381469727
lassen,27032601,1136.3308806532011,12.607648923875779,182.891845703125,SW,655.1099853515625,131.81165313720703,413.13999938964844,39.7012996673584,1446.5433349609375,18.27834987640381
